id,state,body,address,level,type,statement_content,target_1,target_2,target_3,target_4,target_5,prohibited_1,prohibited_2,prohibited_3,prohibited_4,required_1,required_2,required_3,trigger_1,trigger_2,trigger_3,trigger_4,trigger_5,trigger_6,trigger_7,enforcement_1,enforcement_2,enforcement_3,category,bill,related,date_intro,date_adopted,date_checked,progress,url_source,url_text
AZ-11,AZ,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Concurrent Resolution 2001,,1/10/22,,6/29/22,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/HCR2001H.pdf
AZ-12,AZ,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Bill 2112,,1/10/22,3/23/22,6/29/22,Enacted,https://apps.azleg.gov/BillStatus/BillOverview/76499,https://www.azleg.gov/legtext/55leg/2R/bills/HB2112H.pdf
AZ-13,AZ,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Bill 2291,,1/13/22,,7/1/22,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76760,https://www.azleg.gov/legtext/55leg/2R/bills/HB2291P.pdf
AZ-14,AZ,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Not Specified,House Bill 2370,,1/13/22,,7/1/22,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76848,https://www.azleg.gov/legtext/55leg/2R/bills/HB2370P.pdf
AZ-15,AZ,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Not Specified,Senate Bill 1211,,1/14/22,,7/1/22,Pending,https://apps.azleg.gov/BillStatus/BillOverview/77089,https://www.azleg.gov/legtext/55leg/2R/bills/SB1211S.pdf
AZ-16,AZ,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Specified,House Bill 2247,,1/12/22,,7/1/22,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76705,https://www.azleg.gov/legtext/55leg/2R/bills/HB2247P.pdf
AZ-17,AZ,Casa Grande Elementary School District,"220 W Kortsen Rd Casa Grande, AZ 85122-5910",LocalSch,Statement,CRT Not Taught,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,10/15/21,10/15/21,6/15/22,Enacted,,https://www.pinalcentral.com/casa_grande_dispatch/area_news/cgesd-no-critical-race-theory-in-curriculum/article_a52621d6-680c-50c8-b916-53375e7c90dc.html
AZ-18,AZ,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Specified,House Bill 2439,,1/20/22,4/29/22,6/15/22,Enacted,https://apps.azleg.gov/BillStatus/BillOverview/76930,https://www.azleg.gov/legtext/55leg/2R/laws/0205.pdf
AZ-19,AZ,Legislature,,State,Legislation,Not Specified,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Race or ethnicity only,Senate Bill 1412,,1/26/22,,7/1/22,Pending,https://apps.azleg.gov/BillStatus/BillOverview/77348,https://www.azleg.gov/legtext/55leg/2R/bills/SB1412H.pdf
CA-2,CA,Corona-Norca Unified School District,"2820 Clark Ave, Norco, CA",LocalSch,Resolution,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,8/5/21,,6/15/22,Rejected,,https://perma.cc/H6GZ-MADG
